movieID,movieTitle,releaseDate,genre,directorID,duration
191102,Epigraph,1996,Romance,745580,186
505301,Anaglyphic Tinsel,1991,Adventure,423613,135
210752,Sexagesimal Subspecies,2020,Thriller,325013,81
994048,The Equipment,2024,Biography,686536,95
407788,Chivalry,2011,Documentary,693687,197
185073,Unfocussed Bloat,1987,Fantasy,423558,205
448390,Meteoritic Rye,2016,Mystery,523200,221
380342,The Blowing,1988,Drama,649208,123
344758,The Honest Laborer,1999,History,651457,68
461740,The Conditioned Gangster,1961,Comedy,945214,133
920459,M Necessary,1989,Short,762530,178
671049,The Unrewarded Undoing,2017,Romance,472346,185
916974,Unflagging Rejection,2013,Drama,580177,68
773746,The Churlish Jigger,2026,Animation,244756,134
421869,Incognito Hood,1972,War,983819,118
119854,Conservatory,2023,Adventure,365255,125
934052,Edgy Maze,2020,Comedy,664908,168
808705,Adult,2026,Western,429681,152
542510,The Stellar Hook,2007,Mystery,285436,222
189530,Account,1987,Animation,457007,202
398770,The Sensitising Diversification,2008,Animation,168184,167
618786,The Facial,1963,Adventure,175358,136
286398,Unison,1941,Music,717180,204
158925,The Concern,2003,Crime,897765,169
373935,The Gleam,2002,Musical,855195,70
763178,Lump,2024,Horror,192841,63
701501,Typhus,1960,Musical,475431,81
284903,Flowered Stucco,1990,Thriller,319512,140
907290,The Practiced Eighty,2026,Crime,582899,76
363563,Catarrhinian Jug,2000,Thriller,509760,170
855815,Canyonside,1995,Action,297094,210
397345,The Cask,1982,Fantasy,983819,210
232946,The Gerundial Rip,1986,Horror,335905,157
802995,Twist,1978,Animation,464236,111
775905,The Experiential Essence,1941,Thriller,457333,123
261554,The Grateful Prostitute,2015,Documentary,463105,203
249118,The Psyllium,1978,Musical,250859,222
944473,Physics,2012,Fantasy,149800,131
200401,The Wealthy Bore,2003,Animation,467239,84
617128,The Amendable Champion,2012,Musical,780534,121
883368,The Eyes,1995,Musical,492189,105
624515,Trick,2008,Thriller,320192,140
310460,Redemptive Rear,1998,Mystery,554600,186
732362,The Weatherproof Constitution,2021,Crime,586879,85
350294,The Interpretable Publisher,2002,Action,609435,194
231674,The C,2013,Drama,412100,109
137058,The Irreverent Frock,2000,Biography,300512,218
744753,The Gun,1973,Horror,815328,71
445785,Protest,2006,Sci-Fi,163882,190
751100,Eyes,1987,Thriller,815328,139
883056,The Persistent Grunt,1996,Biography,201378,122
436819,The Navigable Steal,1994,Family,457007,139
202437,Bicornuous Sir,1977,Mystery,611570,61
756358,The Irenic Diving,2020,Thriller,523328,157
306920,Cordial,2001,Drama,337822,219
111818,The Impulsive Rung,2015,Fantasy,922418,81
633568,Scented Gauss,2017,Musical,275979,206
894820,The Unmarried Sawyer,1988,Biography,783484,66
482696,The Testing,2003,Documentary,674936,188
950929,The Coffee,1998,History,678911,188
875943,The Elegant Cupboard,2021,Crime,313635,176
154174,The Saga,2007,Comedy,902518,123
586325,Unwaxed Mechanic,1972,Mystery,945214,166
736322,The Canonist Plain,2015,Film-Noir,298267,128
640051,Physicochemical Mountainside,1975,Biography,890312,60
803536,Serous Apathy,2018,Crime,560341,109
872477,Compliments,1976,War,499961,208
276059,The Polytonal Papers,1970,Mystery,530696,148
519906,The Antagonist,2021,Romance,259437,80
410251,Haemolytic Choral,2015,Fantasy,737856,142
355262,Catapultian Acquaintance,2004,Film-Noir,659999,69
716052,The Comforting Strychnine,2025,Romance,496178,104
352504,Handicapped Completeness,2026,Biography,696129,223
121026,The Imprudent Playhouse,1983,History,667943,169
563500,Takeover,2024,Sci-Fi,831598,104
118564,The Extrapolation,2009,Fantasy,584608,106
642481,The Void,2021,Music,797037,111
731749,Sterile Egg,1951,Comedy,827870,64
584106,The Salamandriform Commotion,1990,Drama,387376,139
771636,The Injudicious Sunspot,2026,Fantasy,531234,212
106067,The Botanical Jail,1992,War,589884,62
762158,Momentary Basic,2024,Thriller,901860,141
964456,The Seething Colored,2009,Musical,606789,216
312584,The Titan,1978,Horror,853209,94
883672,Hick Saturation,1963,Music,564583,68
908433,The Hostler,2007,Biography,249154,79
762596,The Gregarious Clubhouse,1975,Action,696129,187
157684,The Draft,2011,Action,530516,79
721866,Traditionalism,2002,Musical,291444,152
498804,The Commonweal,2009,Horror,673929,212
566005,Redemptive Tray,1935,History,291444,63
543025,Steps,2024,Musical,344737,70
907681,Inception,1976,Fantasy,342740,136
653500,The Judicial Hint,1997,Animation,719157,96
199986,The Apodous Harm,2026,History,465130,134
610673,Suspended Massage,2014,Romance,464236,214
925031,Paradox,1989,Music,245031,177
818913,Indexless Sounding,1978,Documentary,460667,220
381375,The Defection,1999,Horror,580177,140
428759,Stamp,2018,Adventure,496178,88
293758,Uninvited Court,2002,History,337542,198
608005,Wine,1983,Sport,831598,184
678090,The Housepaint,1982,Sport,144924,97
963898,Pate,2011,Drama,786185,127
441835,Pretend Laxness,2005,Documentary,179118,210
512997,Day,1984,Sport,679401,164
647724,Oral,2003,History,399967,157
798355,Pup,2011,Drama,355445,216
601781,Nan,1928,Action,326519,212
388719,The Pace,2007,Film-Noir,423613,204
105660,The Crust,1985,Family,863745,224
461421,The Imputable Sentence,2024,Musical,492189,124
544394,Downtown,1991,Animation,477590,93
414270,Synchronous Tabulation,2012,Music,436729,77
681283,Tapestry,1996,Music,331383,99
281043,The Rancher,2001,Music,593613,163
871032,Frequency,1997,Comedy,340619,103
178453,The Symbol,2019,Sport,629454,123
715687,The Magenta,2009,Action,863745,71
619338,Testy Superintendent,1942,Sport,957453,196
358832,The Beads,1988,Horror,827870,171
414674,The Elect,1970,Thriller,173685,166
164189,The Stacked Savannah,1976,Music,555114,89
713329,The Especial Shades,2003,Drama,363629,128
806387,The Gnomish Grand,1955,Action,499413,142
890766,Corinthian Souvenir,1992,Short,232683,161
390486,Numbing Herb,2001,War,295898,102
998771,Adroit Leukemia,2005,Crime,938300,73
768370,The Devil,1975,Horror,932090,151
251695,The Chargeable Grievance,2003,Western,678812,143
430584,Thinking Downpour,1986,Documentary,391338,65
996254,Impetuous Sphere,1980,Action,927598,203
474839,Brilliant Enlightened,2023,Romance,179118,141
842638,Voidable Promenade,1963,Musical,939831,84
515199,Shirking,1996,Western,737097,151
103907,The Restorative Focusing,1999,Drama,654881,157
125665,The Lurch,2026,History,511777,126
101815,Newcomer,1982,Crime,326519,116
972198,The Parade,1994,Film-Noir,861544,108
825448,Lime,2025,Comedy,929118,135
963329,The Epoxy,1978,Western,300280,172
390064,Sophomore Small,2000,Crime,754730,122
922373,Acres,2019,Drama,105905,71
858199,Knowledgeable Scudding,1984,Western,883889,73
412626,The Lab,1973,Music,370956,212
906362,Tularemia,2013,Adventure,656723,79
108552,The Mass,2008,History,450741,148
778755,The Hyaloid Transshipment,1952,War,841586,194
575931,The Hypertrophy,1985,Comedy,491716,152
939798,Outlying Back,1979,Fantasy,678812,79
874585,The Sketchbook,2020,Drama,610477,201
436018,Hustle,2022,History,799254,130
